label,name
UnitID,UnitID
Institution Name,Institution Name
Grand total (EF1999  All students  Undergraduate total),EFTOTAL (EF1999  EFLEVEL=20)
Full time total (EF1999  All students  Undergraduate total),EFFT (EF1999  EFLEVEL=20)
Part time total (EF1999  All students  Undergraduate total),EFPT (EF1999  EFLEVEL=20)
Grand total (EF1999  All students  Graduate and First professional),EFTOTAL (EF1999  EFLEVEL=50)
Full time total (EF1999  All students  Graduate and First professional),EFFT (EF1999  EFLEVEL=50)
Part time total (EF1999  All students  Graduate and First professional),EFPT (EF1999  EFLEVEL=50)
Grand total (EF1998  All students  Undergraduate total),EFTOTAL (EF1998  EFLEVEL=20)
Full time total (EF1998  All students  Undergraduate total),EFFT (EF1998  EFLEVEL=20)
Part time total (EF1998  All students  Undergraduate total),EFPT (EF1998  EFLEVEL=20)
Grand total (EF1998  All students  Graduate and First professional),EFTOTAL (EF1998  EFLEVEL=50)
Full time total (EF1998  All students  Graduate and First professional),EFFT (EF1998  EFLEVEL=50)
Part time total (EF1998  All students  Graduate and First professional),EFPT (EF1998  EFLEVEL=50)
Grand total (EF1997  All students  Undergraduate total),EFTOTAL (EF1997  EFLEVEL=20)
Full time total (EF1997  All students  Undergraduate total),EFFT (EF1997  EFLEVEL=20)
Part time total (EF1997  All students  Undergraduate total),EFPT (EF1997  EFLEVEL=20)
Grand total (EF1997  All students  Graduate and First professional),EFTOTAL (EF1997  EFLEVEL=50)
Full time total (EF1997  All students  Graduate and First professional),EFFT (EF1997  EFLEVEL=50)
Part time total (EF1997  All students  Graduate and First professional),EFPT (EF1997  EFLEVEL=50)
Grand total (EF1996  All students  Undergraduate total),EFTOTAL (EF1996  EFLEVEL=20)
Full time total (EF1996  All students  Undergraduate total),EFFT (EF1996  EFLEVEL=20)
Part time total (EF1996  All students  Undergraduate total),EFPT (EF1996  EFLEVEL=20)
Grand total (EF1996  All students  Graduate and First professional),EFTOTAL (EF1996  EFLEVEL=50)
Full time total (EF1996  All students  Graduate and First professional),EFFT (EF1996  EFLEVEL=50)
Part time total (EF1996  All students  Graduate and First professional),EFPT (EF1996  EFLEVEL=50)
Grand total (EF1995  All students  Undergraduate total),EFTOTAL (EF1995  EFLEVEL=20)
Full time total (EF1995  All students  Undergraduate total),EFFT (EF1995  EFLEVEL=20)
Part time total (EF1995  All students  Undergraduate total),EFPT (EF1995  EFLEVEL=20)
Grand total (EF1995  All students  Graduate and First professional),EFTOTAL (EF1995  EFLEVEL=50)
Full time total (EF1995  All students  Graduate and First professional),EFFT (EF1995  EFLEVEL=50)
Part time total (EF1995  All students  Graduate and First professional),EFPT (EF1995  EFLEVEL=50)
Grand total (EF1994  All students  Undergraduate total),EFTOTAL (EF1994  EFLEVEL=20)
Full time total (EF1994  All students  Undergraduate total),EFFT (EF1994  EFLEVEL=20)
Part time total (EF1994  All students  Undergraduate total),EFPT (EF1994  EFLEVEL=20)
Grand total (EF1994  All students  Graduate and First professional),EFTOTAL (EF1994  EFLEVEL=50)
Full time total (EF1994  All students  Graduate and First professional),EFFT (EF1994  EFLEVEL=50)
Part time total (EF1994  All students  Graduate and First professional),EFPT (EF1994  EFLEVEL=50)
Grand total (EF1993  All students  Undergraduate total),EFTOTAL (EF1993  EFLEVEL=20)
Full time total (EF1993  All students  Undergraduate total),EFFT (EF1993  EFLEVEL=20)
Part time total (EF1993  All students  Undergraduate total),EFPT (EF1993  EFLEVEL=20)
Grand total (EF1993  All students  Graduate and First professional),EFTOTAL (EF1993  EFLEVEL=50)
Full time total (EF1993  All students  Graduate and First professional),EFFT (EF1993  EFLEVEL=50)
Part time total (EF1993  All students  Graduate and First professional),EFPT (EF1993  EFLEVEL=50)
Grand total (EF1992  All students  Undergraduate total),EFTOTAL (EF1992  EFLEVEL=20)
Full time total (EF1992  All students  Undergraduate total),EFFT (EF1992  EFLEVEL=20)
Part time total (EF1992  All students  Undergraduate total),EFPT (EF1992  EFLEVEL=20)
Grand total (EF1992  All students  Graduate and First professional),EFTOTAL (EF1992  EFLEVEL=50)
Full time total (EF1992  All students  Graduate and First professional),EFFT (EF1992  EFLEVEL=50)
Part time total (EF1992  All students  Graduate and First professional),EFPT (EF1992  EFLEVEL=50)
Grand total (EF1991  All students  Undergraduate total),EFTOTAL (EF1991  EFLEVEL=20)
Full time total (EF1991  All students  Undergraduate total),EFFT (EF1991  EFLEVEL=20)
Part time total (EF1991  All students  Undergraduate total),EFPT (EF1991  EFLEVEL=20)
Grand total (EF1991  All students  Graduate and First professional),EFTOTAL (EF1991  EFLEVEL=50)
Full time total (EF1991  All students  Graduate and First professional),EFFT (EF1991  EFLEVEL=50)
Part time total (EF1991  All students  Graduate and First professional),EFPT (EF1991  EFLEVEL=50)
Grand total (EF1990  All students  Undergraduate total),EFTOTAL (EF1990  EFLEVEL=20)
Full time total (EF1990  All students  Undergraduate total),EFFT (EF1990  EFLEVEL=20)
Part time total (EF1990  All students  Undergraduate total),EFPT (EF1990  EFLEVEL=20)
Grand total (EF1990  All students  Graduate and First professional),EFTOTAL (EF1990  EFLEVEL=50)
Full time total (EF1990  All students  Graduate and First professional),EFFT (EF1990  EFLEVEL=50)
Part time total (EF1990  All students  Graduate and First professional),EFPT (EF1990  EFLEVEL=50)
Grand total (EF1989  All students  Undergraduate total),EFTOTAL (EF1989  EFLEVEL=20)
Full time total (EF1989  All students  Undergraduate total),EFFT (EF1989  EFLEVEL=20)
Part time total (EF1989  All students  Undergraduate total),EFPT (EF1989  EFLEVEL=20)
Grand total (EF1989  All students  Graduate and First professional),EFTOTAL (EF1989  EFLEVEL=50)
Full time total (EF1989  All students  Graduate and First professional),EFFT (EF1989  EFLEVEL=50)
Part time total (EF1989  All students  Graduate and First professional),EFPT (EF1989  EFLEVEL=50)
Grand total (EF1988  All students  Undergraduate total),EFTOTAL (EF1988  EFLEVEL=20)
Full time total (EF1988  All students  Undergraduate total),EFFT (EF1988  EFLEVEL=20)
