,Private Nonprofit Four-Year,Public Four-Year
71-72,6810,6070
72-73,6850,6310
73-74,6660,6200
74-75,6580,5820
75-76,6460,5770
76-77,6400,5820
77-78,6370,5700
78-79,6330,5600
79-80,6130,5480
80-81,6000,5330
81-82,6100,5400
82-83,6440,5610
83-84,6740,5750
84-85,7000,5930
85-86,6500,5930
86-87,7340,6070
87-88,7550,6000
88-89,7790,6120
89-90,7900,6120
90-91,8000,6110
91-92,8110,6180
92-93,8220,6280
93-94,8360,6410
94-95,8120,6640
95-96,8530,6500
96-97,8620,6680
97-98,8750,6850
98-99,8880,6980
99-00,9010,7130
00-01,8990,7190
01-02,9200,7470
02-03,9530,7790
03-04,9740,8060
04-05,9870,8310
05-06,10010,8550
06-07,10140,8720
07-08,10370,8920
08-09,10280,8900
09-10,10920,9560
10-11,11220,9880
11-12,11250,9900
12-13,11500,10090
13-14,11690,10240
14-15,11810,10340
15-16,12180,10700
16-17,12410,10970
17-18,12660,11130
18-19,12680,11140
