,Need-based,Non-need-based
85-'86,369.30,36.30
86-'87,390.14,40.16
87-'88,373.12,39.65
88-'89,369.01,41.79
89-'90,366.65,46.12
90-'91,353.12,46.05
91-'92,341.92,40.58
92-'93,366.97,40.21
93-'94,412.32,45.40
94-'95,443.82,65.56
95-'96,435.92,72.86
96-'97,436.81,77.74
97-'98,451.35,90.24
98-'99,469.09,106.37
99-'00,476.83,132.74
00-'01,502.32,155.72
01-'02,508.13,160.57
02-'03,497.08,150.74
03-'04,508.84,174.75
04-'05,531.45,196.40
05-'06,527.79,203.21
06-'07,534.35,209.99
07-'08,549.21,207.70
08-'09,523.59,202.42
09-'10,513.86,194.02
10-'11,497.54,205.34
11-'12,513.40,179.22
12-'13,532.63,176.33
13-'14,544.36,176.19
14-'15,574.09,179.25
15-'16,597.24,188.69
