State,"On-campus housing - average rent"
New York,-8712.31
"Washington, DC",-6834.24
Mississippi,-5931.77
New Jersey,-4880.47
Hawaii,-4748.57
West Virginia,-4265.06
Massachusetts,-4212.96
Virginia,-3744.62
California,-3527.38
Texas,-3221.614
North Carolina,-3097.54
South Carolina,-3050.659
Kansas,-2925.792
Florida,-2920.71
Washington,-2912.648
Connecticut,-2718.568
Minnesota,-2659.712
New Hampshire,-2633.746
Colorado,-2496.673
Alaska,-2446.117
Oklahoma,-2284.621
Michigan,-2233.067
Arizona,-2204.167
Illinois,-2198.515
Rhode Island,-2132.141
Tennessee,-2125.693
Georgia,-1824.686
Wisconsin,-1711.176
New Mexico,-1549.318
Idaho,-1549.17
Nevada,-1524.721
Utah,-1249.308
Indiana,-1173.06
Vermont,-1104.083
Maryland,-1060.8
South Dakota,-782.479
Nebraska,-696.928
Missouri,-687.326
Alabama,-677.122
Pennsylvania,-671.27
North Dakota,-562.789
Arkansas,-555.583
Wyoming,-390.585
Louisiana,-299.99
Oregon,-219.7
Iowa,-39.681
Kentucky,32.283
Delaware,185.841
Montana,203.359
Ohio,635.74
Maine,1974.558
