state,Median income
Mississippi,52700
New Mexico,54500
Arkansas,55695
West Virginia,59700
Kentucky,60793
South Carolina,60828
Oklahoma,60890
Florida,60961
Alabama,61436
Arizona,61823
Tennessee,61823
North Carolina,62009
Idaho,62722
Nevada,63290
Louisiana,63767
Georgia,64302
Texas,66975
Montana,66986
Indiana,67200
Missouri,67215
Maine,67847
Oregon,67847
Michigan,70000
Ohio,70000
South Dakota,72127
Kansas,72130
United States,72370
Nebraska,73158
California,74188
Iowa,74935
Wisconsin,75948
Vermont,76249
Wyoming,76249
Utah,76960
Pennsylvania,77300
Illinois,79076
Washington,79583
New York,79998
Delaware,80597
Colorado,81104
Rhode Island,81104
North Dakota,81213
District of Columbia,81254
Virginia,86100
Minnesota,86378
Alaska,87583
New Hampshire,92000
Hawaii,94501
Maryland,98000
Connecticut,99555
New Jersey,100000
Massachusetts,100251
