,Ages 25 to 34,Ages 35 to 44,Ages 45 to 54,Ages 55 to 64
1985,55375,69518,77995,65126
1986,56245,73180,81272,66574
1987,57148,74711,83728,66899
1988,57624,75789,82329,68633
1989,57719,75160,86189,70376
1990,56118,73159,84032,69549
1991,54221,71957,85281,68791
1992,54284,71277,84005,69465
1993,52679,70887,85138,67120
1994,54788,72131,87155,69100
1995,56372,72816,86122,70839
1996,56674,72753,87138,73474
1997,59656,75241,89469,74968
1998,60471,76384,91033,77406
1999,62202,79027,94099,78329
2000,63260,80986,94587,77302
2001,62728,77938,92338,77891
2002,62132,76814,92327,79436
2003,60751,77152,91542,79571
2004,59577,78885,90197,79033
2005,59490,77358,89571,80910
2006,59666,77712,90105,81837
2007,60531,78541,89643,83677
2008,58910,76143,84333,80758
2009,56282,72932,84690,80152
2010,55014,73030,81991,80036
2011,54029,70690,81670,77622
2012,53890,70742,81785,78186
2013,53577,73362,83861.5,78612
2014,54215,73181,85691,79933
2015,57492,77750,86832,84872
2016,61641,80168,90119,82837
