,Federal minimum wage
1946,5.14
1947,4.49
1948,4.16
1949,4.21
1950,7.80
1951,7.23
1952,7.09
1953,7.04
1954,6.99
1955,7.01
1956,9.21
1957,8.92
1958,8.67
1959,8.61
1960,8.46
1961,8.38
1962,9.54
1963,9.42
1964,10.10
1965,9.94
1966,9.67
1967,10.50
1968,11.52
1969,10.92
1970,10.33
1971,9.90
1972,9.59
1973,9.03
1974,10.16
1975,9.78
1976,10.13
1977,9.51
1978,10.18
1979,10.01
1980,9.43
1981,9.23
1982,8.70
1983,8.43
1984,8.08
1985,7.80
1986,7.66
1987,7.39
1988,7.09
1989,6.77
1990,7.28
1991,7.82
1992,7.59
1993,7.37
1994,7.19
1995,6.99
1996,6.79
1997,7.41
1998,7.92
1999,7.74
2000,7.49
2001,7.29
2002,7.17
2003,7.01
2004,6.83
2005,6.61
2006,6.40
2007,7.07
2008,7.62
2009,8.47
2010,8.33
2011,8.08
2012,7.91
2013,7.80
2014,7.67
2015,7.66
2016,7.57
2017,7.41
2018,7.25
