,,Expected contribution,Federal grant aid,Military and veterans' grants aid,State grant aid,Institutional grant aid,Private and employer grant aid,Federal student loans,Federal parent loans,Private loans,Earnings and other resources,Tuition and fees,Budget beyond tuiton and fees
Student resources,Public four-year out-of-state,3570,2750,3870,0,3840,1950,5960,0,610,11740,0,0
Student budget,Public four-year out-of-state,0,0,0,0,0,0,0,0,0,0,18270,16020
Student resources,Public four-year in-state ,2280,3380,1570,1220,1250,680,6050,0,420,8350,0,0
Student budget,Public four-year in-state ,0,0,0,0,0,0,0,0,0,0,9370,15830
Student resources,Public two-year,2950,3130,1550,580,230,250,1910,0,70,7300,0,0
Student budget,Public two-year,0,0,0,0,0,0,0,0,0,0,3740,14230
Student resources,Private nonprofit four-year,3570,2860,2210,750,5070,1000,6020,0,950,14760,0,0
Student budget,Private nonprofit four-year,0,0,0,0,0,0,0,0,0,0,22120,15070
Student resources,For-profit,2850,3630,3500,290,910,490,8060,0,970,12330,0,0
Student budget,For-profit,0,0,0,0,0,0,0,0,0,0,17280,15750
